Wavelength,SAPONITE,SMECTITE,NONTRONITE,SERPENTINE,MONTMORILLONITE,KAOLINITE,GYPSUM,JAROSITE,KIESERITE,SZOMOLNOKITE,CALCITE,MAGNESITE,PYROXENE,PLAGIOCLASE,QUARTZ,FAYALITE,FORSTERITE,OLIVINE,HEMATITE,GOETHITE
0.4225,0.482107,0.113192,0.072111,0.03678,0.059749,0.692908,0.887722,0.04999,0.734304,0.29245,0.799768,0.720916,0.583035,0.256994,0.832266,0.10294,0.601276,0.672629,0.057075,0.052376
0.425,0.48576,0.115708,0.072931,0.036968,0.06216,0.696981,0.889731,0.050545,0.737678,0.29283,0.80168,0.727255,0.583649,0.257782,0.833712,0.105149,0.603087,0.674355,0.05722,0.052444
0.4275,0.4888,0.118136,0.073587,0.037015,0.06478,0.700472,0.891583,0.051022,0.73825,0.293985,0.805788,0.732335,0.586195,0.258955,0.834814,0.107344,0.60455,0.67605,0.05734,0.052795
0.43,0.49184,0.120564,0.074244,0.037063,0.0674,0.703962,0.893435,0.051498,0.738822,0.29514,0.809895,0.737415,0.588742,0.260127,0.835917,0.109539,0.606012,0.677746,0.05746,0.053147
0.4325,0.496249,0.123494,0.074864,0.037342,0.070197,0.704931,0.895136,0.052793,0.741452,0.297645,0.810785,0.742793,0.591951,0.260836,0.837204,0.112065,0.607665,0.678615,0.057455,0.053433
0.435,0.500659,0.126424,0.075483,0.037622,0.072993,0.705899,0.896838,0.054088,0.744083,0.30015,0.811675,0.748171,0.595161,0.261545,0.838492,0.114591,0.609319,0.679484,0.05745,0.053719
0.4375,0.504179,0.129099,0.076058,0.037748,0.076213,0.708992,0.898318,0.056826,0.745721,0.30393,0.813205,0.75289,0.596624,0.262325,0.839194,0.116687,0.611027,0.681561,0.05731,0.054068
0.44,0.5077,0.131773,0.076634,0.037874,0.079433,0.712084,0.899797,0.059564,0.74736,0.30771,0.814735,0.757609,0.598086,0.263106,0.839896,0.118783,0.612736,0.683637,0.05717,0.054417
0.4425,0.51105,0.134367,0.077168,0.037791,0.082442,0.715135,0.901276,0.062569,0.749974,0.31134,0.815822,0.76308,0.598195,0.263529,0.840654,0.120754,0.613912,0.685095,0.057035,0.054759
0.445,0.514399,0.136961,0.077703,0.037708,0.08545,0.718187,0.902754,0.065575,0.752589,0.31497,0.816908,0.768552,0.598305,0.263952,0.841411,0.122725,0.615089,0.686553,0.0569,0.055102
0.4475,0.518406,0.140258,0.079157,0.037946,0.088203,0.721426,0.90442,0.068242,0.754755,0.3181,0.818132,0.772241,0.601155,0.264265,0.842023,0.123536,0.615276,0.687093,0.056755,0.055193
0.45,0.522413,0.143554,0.080611,0.038185,0.090956,0.724665,0.906085,0.070909,0.756921,0.32123,0.819356,0.77593,0.604005,0.264578,0.842635,0.124347,0.615464,0.687634,0.05661,0.055284
0.4525,0.524815,0.148,0.083269,0.038308,0.093741,0.727615,0.906888,0.072849,0.758669,0.324855,0.82078,0.780407,0.605934,0.265425,0.843225,0.125141,0.617025,0.688275,0.056425,0.055268
0.455,0.527218,0.152446,0.085927,0.038431,0.096526,0.730566,0.907691,0.07479,0.760417,0.32848,0.822203,0.784884,0.607863,0.266272,0.843815,0.125935,0.618586,0.688916,0.05624,0.055251
0.4575,0.531774,0.158781,0.08976,0.038462,0.098623,0.733311,0.908481,0.076111,0.76286,0.33231,0.823184,0.787749,0.60928,0.266764,0.844629,0.128245,0.620593,0.691087,0.05595,0.055133
0.46,0.53633,0.165115,0.093593,0.038494,0.100719,0.736055,0.90927,0.077432,0.765303,0.33614,0.824165,0.790614,0.610698,0.267256,0.845443,0.130554,0.622601,0.693259,0.05566,0.055016
0.4625,0.541179,0.17065,0.099262,0.038766,0.102669,0.738384,0.910346,0.078692,0.766398,0.340065,0.824306,0.794335,0.61524,0.267518,0.846683,0.132365,0.624835,0.694822,0.05562,0.054912
0.465,0.546029,0.176185,0.104931,0.039038,0.10462,0.740714,0.911422,0.079952,0.767493,0.34399,0.824448,0.798057,0.619783,0.267781,0.847923,0.134176,0.627069,0.696385,0.05558,0.054807
0.4675,0.551905,0.182357,0.113488,0.039117,0.106463,0.745008,0.912073,0.081097,0.768242,0.348095,0.825912,0.801289,0.62156,0.267878,0.84811,0.136198,0.628854,0.697391,0.055375,0.054816
0.47,0.557781,0.188528,0.122045,0.039195,0.108306,0.749302,0.912723,0.082242,0.768991,0.3522,0.827377,0.804521,0.623337,0.267976,0.848298,0.138219,0.630639,0.698397,0.05517,0.054824
0.4725,0.56335,0.194514,0.132203,0.039282,0.110221,0.750461,0.913514,0.083498,0.7702,0.35624,0.828174,0.80809,0.624784,0.268257,0.848783,0.140199,0.632748,0.700861,0.055045,0.054831
0.475,0.568919,0.200501,0.14236,0.039369,0.112137,0.751619,0.914306,0.084754,0.771409,0.36028,0.828971,0.811658,0.62623,0.268539,0.849269,0.142179,0.634857,0.703325,0.05492,0.054839
0.4775,0.574062,0.20536,0.15293,0.039644,0.114175,0.755259,0.915305,0.086281,0.772772,0.36425,0.83077,0.814232,0.628082,0.269022,0.8503,0.144745,0.637187,0.70446,0.054795,0.054876
0.48,0.579205,0.210219,0.163501,0.039918,0.116213,0.758898,0.916305,0.087809,0.774136,0.36822,0.832568,0.816807,0.629934,0.269505,0.851332,0.147311,0.639517,0.705595,0.05467,0.054913
0.4825,0.583806,0.214575,0.172428,0.040428,0.118985,0.761876,0.917063,0.089685,0.774739,0.37284,0.832648,0.819521,0.631965,0.269309,0.851345,0.150146,0.64049,0.706303,0.05464,0.055243
0.485,0.588406,0.218931,0.181355,0.040938,0.121757,0.764853,0.917822,0.091562,0.775342,0.37746,0.832729,0.822235,0.633996,0.269112,0.851359,0.152981,0.641463,0.707011,0.05461,0.055573
0.4875,0.593031,0.222804,0.188741,0.04122,0.124576,0.767642,0.919421,0.094022,0.776637,0.38216,0.833311,0.822929,0.636252,0.269022,0.85225,0.154152,0.642384,0.707875,0.05457,0.056006
0.49,0.597655,0.226676,0.196127,0.041501,0.127395,0.77043,0.92102,0.096482,0.777933,0.38686,0.833893,0.823623,0.638508,0.268932,0.853141,0.155324,0.643305,0.708739,0.05453,0.056438
0.4925,0.601379,0.230822,0.202512,0.041616,0.131025,0.772008,0.922313,0.09962,0.77939,0.391285,0.834605,0.82594,0.64198,0.269377,0.855335,0.157436,0.643914,0.710197,0.05456,0.057101
0.495,0.605103,0.234968,0.208897,0.04173,0.134656,0.773585,0.923607,0.102757,0.780847,0.39571,0.835316,0.828258,0.645451,0.269822,0.857528,0.159549,0.644522,0.711656,0.05459,0.057765
0.4975,0.609584,0.239572,0.215053,0.041704,0.138938,0.776069,0.923324,0.10658,0.781878,0.40033,0.837224,0.829188,0.648488,0.270023,0.857901,0.1613,0.647931,0.714242,0.05449,0.058591
0.5,0.614065,0.244175,0.22121,0.041679,0.143219,0.778553,0.92304,0.110403,0.782908,0.40495,0.839133,0.830118,0.651524,0.270224,0.858274,0.163051,0.65134,0.716828,0.05439,0.059418
0.5025,0.618272,0.249139,0.227128,0.04188,0.148268,0.780771,0.92527,0.115021,0.784901,0.409625,0.838347,0.832273,0.651036,0.270755,0.858728,0.166822,0.653913,0.719944,0.05449,0.060438
0.505,0.622479,0.254104,0.233046,0.042082,0.153316,0.782989,0.9275,0.119639,0.786893,0.4143,0.837562,0.834428,0.650548,0.271285,0.859182,0.170593,0.656485,0.723059,0.05459,0.061457
0.5075,0.626809,0.259557,0.23875,0.042445,0.159026,0.784496,0.92716,0.125074,0.787875,0.41913,0.83873,0.834586,0.657646,0.271393,0.859322,0.173598,0.65786,0.723861,0.054565,0.062681
0.51,0.631139,0.265011,0.244455,0.042808,0.164735,0.786003,0.92682,0.130509,0.788857,0.42396,0.839898,0.834743,0.664744,0.271502,0.859462,0.176604,0.659234,0.724662,0.05454,0.063905
0.5125,0.634885,0.271003,0.250405,0.043102,0.171603,0.788651,0.929594,0.137146,0.789209,0.428575,0.840408,0.83657,0.668577,0.272491,0.859638,0.179079,0.660385,0.725895,0.05463,0.065479
0.515,0.638631,0.276996,0.256354,0.043397,0.17847,0.7913,0.932368,0.143782,0.78956,0.43319,0.840918,0.838397,0.67241,0.273479,0.859814,0.181553,0.661537,0.727127,0.05472,0.067053
0.5175,0.642344,0.282578,0.262859,0.043594,0.185817,0.793628,0.932457,0.151728,0.79127,0.437885,0.84223,0.839016,0.675703,0.273509,0.860123,0.183378,0.663036,0.727736,0.054675,0.068903
0.52,0.646056,0.288159,0.269364,0.043792,0.193164,0.795956,0.932546,0.159674,0.792979,0.44258,0.843542,0.839635,0.678995,0.273538,0.860431,0.185203,0.664535,0.728345,0.05463,0.070753
